species,sample,latitude,longitude
Pipra filicauda,SRR19417830,-5.219722222,-68.31666667
Pipra filicauda,SRR19417829,-5.219722222,-68.31666667
Pipra filicauda,SRR19417679,-4.486694444,-71.55063889
Pipra filicauda,SRR19417668,-4.486694444,-71.55063889
Pipra filicauda,SRR19417657,-4.486694444,-71.55063889
Pipra filicauda,SRR19417646,-4.486694444,-71.55063889
Pipra filicauda,SRR19417635,-4.280833,-77.237778
Pipra filicauda,SRR19417717,-4.280833,-77.237778
Pipra filicauda,SRR19417706,-4.280833,-77.237778
Pipra filicauda,SRR19417795,-4.280833,-77.237778
Pipra filicauda,SRR19417828,-4.280833,-77.237778
Pipra filicauda,SRR19417817,-2.583333333,-76.11666667
Pipra filicauda,SRR19417806,-2.583333333,-76.11666667
Pipra filicauda,SRR19417783,2.03,-65.12
Pipra filicauda,SRR19417772,2.03,-65.12
Pipra filicauda,SRR19417761,1.484291,-61.232862
Pipra filicauda,SRR19417750,1.183333,-64.816667
Pipra filicauda,SRR19417739,-1.680833,-61.4925
Pipra filicauda,SRR19417728,-1.680833,-61.4925
Pipra filicauda,SRR19417686,-1.834081,-61.383798
Pipra filicauda,SRR19417678,-2.75,-60.75
Pipra filicauda,SRR19417677,-3.3464562,-59.8295038
Pipra filicauda,SRR19417676,-3.3464562,-59.8295038
Pipra filicauda,SRR19417675,-3.3464562,-59.8295038
Pipra filicauda,SRR19417674,-3.3464562,-59.8295038
Pipra filicauda,SRR19417673,-3.350999896,-59.84685821
Pipra filicauda,SRR19417672,-3.3464562,-59.8295038
Pipra filicauda,SRR19417671,-3.348887237,-59.83823148
Thamnophilus aethiops,SRR24420758,-3.683333,-60.316667
Thamnophilus aethiops,SRR24420757,-4.983333,-61.566667
Thamnophilus aethiops,SRR24420754,-8.840933,-64.061614
Thamnophilus aethiops,SRR24420753,-5.241667,-60.716667
Thamnophilus aethiops,SRR24420748,-4.983333,-62.966667
Thamnophilus aethiops,SRR24420747,-4.983333,-62.966667
Thamnophilus aethiops,SRR24420746,-7.133333,-75.683333
Thamnophilus aethiops,SRR24420745,-10.38,-73.72
Thamnophilus aethiops,SRR24420735,-7.69452,-65.223491
Thamnophilus aethiops,SRR24420734,-7.336479,-65.15999
Thamnophilus aethiops,SRR24420733,-7.336479,-65.15999
Thamnophilus aethiops,SRR24420731,-4.083333,-60.6605
Thamnophilus aethiops,SRR24420730,-7.518333,-63.337778
Thamnophilus aethiops,SRR24420728,-4.530278,-71.61625
Thamnophilus aethiops,SRR24420718,-10.833333,-64.75
